Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes,Year,Month,year_month,expected_n,expected_p,expected_k,max_moisture_pct,typical_adulterants,dev_n,dev_p,dev_k,excess_moisture,Chemical_Deviation_Score,Quality_Score,Adulterant_Type,Benchmark_Price_LKR_kg,Price_Diff_From_Benchmark,Price_Deviation_Pct,Price_Arbitrage_Flag,Cultivated_Extent_ha,Estimated_Regional_Demand_MT,monthly_rainfall_mm,avg_temperature_c,Provincial_Center_Lat,Provincial_Center_Lon,Primary_Agro_Zone,Estimated_Yield_Loss_Pct,Estimated_Economic_Loss_LKR_per_ha,NLP_Risk_Score,NLP_Risk_Category,Total_Active_NPK,Estimated_Inert_Filler,Ratio_N_to_P,Ratio_N_to_K,Moisture_Volatilization_Interaction,Cost_per_Gram_Active_Nutrient,Moisture_Cost_Waste_LKR_kg
AGR-78623,MF24-5737A,2024-08-23,Yala,Uva Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,140.0,7000.0,100,21.1,0.0,0.14,Sulfur: 17.3 g/100g,1.4,No,,2024,8,2024-08,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.00476190476190483,0.0,0.0,0.0,0.48,99.3,Substandard_Blend,120.0,20.0,16.67,1,42000,6300.0,131.2,24.983870967741936,6.9331,81.20285000000001,Intermediate Zone,2.0,11040.0,0.1,Normal,21.240000000000002,77.36,211.0,150.71,0.007,0.659,0.0
AGR-32720,BT23-4200C,2024-10-25,Yala,North Western Province,Browns Agricultural Products,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,100.0,1000.0,100,46.5,0.15,0.0,Not Detected,1.4,Yes,,2024,10,2024-10,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.010869565217391304,0.0,0.0,0.0,1.09,98.4,Standard_Pure,105.0,-5.0,-4.76,0,62000,14647.5,286.8,25.351612903225806,7.7612499999999995,80.09530000000001,Intermediate Zone,0.0,0.0,0.1,Normal,46.65,51.95,310.0,465.0,0.015,0.214,0.0
AGR-62507,BT22-9052C,2022-11-26,Off-Season,North Central Province,Agromart Ltd,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,10.0,220.0,2200.0,100,0.0,0.0,58.2,Chlorine: 10.4 g/kg,3.5,Yes,Imported directly,2022,11,2022-11,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.029999999999999954,1.5,33.0,38.5,Heavy_Insoluble_Filler,240.0,-20.0,-8.33,0,30799,2125.13,194.9,25.01,8.12585,80.71125,Dry Zone,20.25,111780.0,0.1,Low_Risk,58.2,38.3,0.0,0.0,0.0,0.378,3.3
AGR-36512,LT22-7963,2023-12-17,Off-Season,Northern Province,Lankem Ceylon PLC,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,221.47,44294.0,100,14.4,14.7,15.4,Sulfur: 24.1 g/kg | Boron: 2.37 %,1.0,No,Expired stock — discounted,2023,12,2023-12,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.03999999999999997,0.02000000000000005,0.02666666666666669,0.0,8.67,87.0,Substandard_Blend,255.0,-33.53,-13.15,0,12250,1929.38,282.7,26.270967741935483,9.20826,80.32364,Dry Zone,4.34,23956.8,0.8,High_Risk,44.5,54.5,0.98,0.94,0.04,0.498,0.0
AGR-48187,MF23-2671,2023-10-24,Yala,Western Province,Hayleys Agriculture Holdings,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,25.0,170.0,4250.0,100,0.0,0.0,59.1,Chlorine: 0.83 %,1.1,No,,2023,10,2023-10,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.014999999999999977,0.0,1.5,97.8,Substandard_Blend,195.0,-25.0,-12.82,0,19000,1083.0,564.4,25.57741935483871,6.8655,79.9386,Wet Zone,2.0,11040.0,0.1,Normal,59.1,39.8,0.0,0.0,0.0,0.288,0.0
AGR-28367,LT22-6569,2022-05-08,Maha,North Central Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,0.5,148.63,74.31,100,0.08,45.4,0.19,Calcium: 2.03 %,0.7,Yes,,2022,5,2022-05,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.013043478260869596,0.0,0.0,1.3,98.0,Standard_Pure,210.0,-61.37,-29.22,0,145000,9171.25,67.2,27.306451612903224,8.12585,80.71125,Dry Zone,0.0,0.0,0.1,Normal,45.669999999999995,53.63,0.0,0.42,0.0,0.325,0.0
AGR-32078,AG23-1690B,2023-02-07,Off-Season,Sabaragamuwa Province,Matara Farm Solutions,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,7.0,115.34,807.38,100,46.2,0.0,0.0,Not Detected,2.2,Yes,,2023,2,2023-02,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.004347826086956583,0.0,0.0,0.7000000000000002,14.43,72.8,Substandard_Blend,120.0,-4.66,-3.88,0,10850,2685.38,158.8,25.235714285714288,6.96705,80.37505,Wet Zone,8.96,49459.2,0.1,Normal,46.2,51.599999999999994,462.0,462.0,0.01,0.25,0.81
AGR-91716,AG22-8634,2023-03-18,Yala,Northern Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,143.3,7165.0,100,20.4,0.0,0.0,Sulfur: 9.5 g/kg,3.0,Yes,Sample from bulk storage,2023,3,2023-03,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.02857142857142864,0.0,0.0,1.5,32.86,38.7,Heavy_Insoluble_Filler,135.0,8.3,6.15,0,35000,4410.0,29.200000000000003,27.83870967741936,9.20826,80.32364,Dry Zone,20.18,111393.6,0.6000000000000001,Medium_Risk,20.4,76.6,204.0,204.0,0.086,0.702,2.15
AGR-22285,LT23-9481B,2024-11-29,Yala,Eastern Province,Hayleys Agriculture Holdings,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,5.0,242.39,1211.95,100,15.07,15.4,14.7,Sulfur: 2.71 % | Boron: 1.58 %,2.7,Yes,,2024,11,2024-11,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.004666666666666685,0.02666666666666669,0.02000000000000005,0.7000000000000002,19.13,65.7,Substandard_Blend,235.0,7.39,3.14,0,82000,13530.0,570.1,26.15666666666667,7.869866666666667,81.52076666666666,Dry Zone,11.32,62486.4,0.1,Normal,45.17,52.129999999999995,0.98,1.03,0.013,0.537,1.7
AGR-76194,CR23-6317A,2023-02-09,Maha,Uva Province,Kandy Farm Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,999.0,163.99,163826.01,100,0.0,46.37,0.0,Calcium: 7.8 g/kg,1.5,Yes,,2023,2,2023-02,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.00804347826086951,0.0,0.0,0.8,98.8,Standard_Pure,160.0,3.99,2.49,0,55000,3781.25,207.9,20.92142857142857,6.9331,81.20285000000001,Intermediate Zone,0.0,0.0,0.1,Normal,46.37,52.13,0.0,0.0,0.0,0.354,0.0
