Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes
AGR-78623,MF24-5737A,2024-08-23,Yala,Uva Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,140.0,7000.0,100,21.1,0.0,0.14,Sulfur: 17.3 g/100g,1.4,No,
AGR-32720,BT23-4200C,2024-10-25,Yala,North Western Province,Browns Agricultural Products,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,100.0,1000.0,100,46.5,0.15,0.0,Not Detected,1.4,Yes,
AGR-62507,BT22-9052C,2022-11-26,Off-Season,North Central Province,Agromart Ltd,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,10.0,220.0,2200.0,100,0.0,0.0,58.2,Chlorine: 10.4 g/kg,3.5,Yes,Imported directly
AGR-36512,LT22-7963,2023-12-17,Off-Season,Northern Province,Lankem Ceylon PLC,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,221.47,44294.0,100,14.4,14.7,15.4,Sulfur: 24.1 g/kg | Boron: 2.37 %,1.0,No,Expired stock — discounted
AGR-48187,MF23-2671,2023-10-24,Yala,Western Province,Hayleys Agriculture Holdings,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,25.0,170.0,4250.0,100,0.0,0.0,59.1,Chlorine: 0.83 %,1.1,No,
AGR-28367,LT22-6569,2022-05-08,Maha,North Central Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,0.5,148.63,74.31,100,0.08,45.4,0.19,Calcium: 2.03 %,0.7,Yes,
AGR-32078,AG23-1690B,2023-02-07,Off-Season,Sabaragamuwa Province,Matara Farm Solutions,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,7.0,115.34,807.38,100,46.2,0.0,0.0,Not Detected,2.2,Yes,
AGR-91716,AG22-8634,2023-03-18,Yala,Northern Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,143.3,7165.0,100,20.4,0.0,0.0,Sulfur: 9.5 g/kg,3.0,Yes,Sample from bulk storage
AGR-22285,LT23-9481B,2024-11-29,Yala,Eastern Province,Hayleys Agriculture Holdings,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,5.0,242.39,1211.95,100,15.07,15.4,14.7,Sulfur: 2.71 % | Boron: 1.58 %,2.7,Yes,
AGR-76194,CR23-6317A,2023-02-09,Maha,Uva Province,Kandy Farm Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,999.0,163.99,163826.01,100,0.0,46.37,0.0,Calcium: 7.8 g/kg,1.5,Yes,
