Region,Season,Product_Name,Cultivated_Extent_ha,Recommended_Dose_kg_per_ha,Estimated_Regional_Demand_MT,Major_Crops
North Central Province,Maha,Urea,145000,225.0,37518.75,"Paddy, Maize, Chili"
North Central Province,Maha,TSP (Triple Super Phosphate),145000,55.0,9171.25,"Paddy, Maize, Chili"
North Central Province,Maha,MOP (Muriate of Potash),145000,60.0,10005.0,"Paddy, Maize, Chili"
North Central Province,Maha,NPK 15-15-15,145000,150.0,25012.5,"Paddy, Maize, Chili"
North Central Province,Maha,NPK 12-12-17,145000,160.0,26680.0,"Paddy, Maize, Chili"
North Central Province,Maha,Ammonium Sulfate (SOA),145000,120.0,20010.0,"Paddy, Maize, Chili"
North Central Province,Maha,Dolomite,145000,250.0,41687.5,"Paddy, Maize, Chili"
North Central Province,Maha,Compost / Organic,145000,1000.0,166750.0,"Paddy, Maize, Chili"
North Central Province,Maha,Eppawala Rock Phosphate (ERP),145000,100.0,16675.0,"Paddy, Maize, Chili"
North Central Province,Yala,Urea,88000,225.0,22770.0,"Paddy, Maize, Chili"
North Central Province,Yala,TSP (Triple Super Phosphate),88000,55.0,5566.0,"Paddy, Maize, Chili"
North Central Province,Yala,MOP (Muriate of Potash),88000,60.0,6072.0,"Paddy, Maize, Chili"
North Central Province,Yala,NPK 15-15-15,88000,150.0,15180.0,"Paddy, Maize, Chili"
North Central Province,Yala,NPK 12-12-17,88000,160.0,16192.0,"Paddy, Maize, Chili"
North Central Province,Yala,Ammonium Sulfate (SOA),88000,120.0,12144.0,"Paddy, Maize, Chili"
North Central Province,Yala,Dolomite,88000,250.0,25300.0,"Paddy, Maize, Chili"
North Central Province,Yala,Compost / Organic,88000,1000.0,101200.0,"Paddy, Maize, Chili"
North Central Province,Yala,Eppawala Rock Phosphate (ERP),88000,100.0,10120.0,"Paddy, Maize, Chili"
North Central Province,Off-Season,Urea,30799,225.0,7969.24,"Paddy, Maize, Chili"
North Central Province,Off-Season,TSP (Triple Super Phosphate),30799,55.0,1948.04,"Paddy, Maize, Chili"
North Central Province,Off-Season,MOP (Muriate of Potash),30799,60.0,2125.13,"Paddy, Maize, Chili"
North Central Province,Off-Season,NPK 15-15-15,30799,150.0,5312.83,"Paddy, Maize, Chili"
North Central Province,Off-Season,NPK 12-12-17,30799,160.0,5667.02,"Paddy, Maize, Chili"
North Central Province,Off-Season,Ammonium Sulfate (SOA),30799,120.0,4250.26,"Paddy, Maize, Chili"
North Central Province,Off-Season,Dolomite,30799,250.0,8854.71,"Paddy, Maize, Chili"
North Central Province,Off-Season,Compost / Organic,30799,1000.0,35418.85,"Paddy, Maize, Chili"
North Central Province,Off-Season,Eppawala Rock Phosphate (ERP),30799,100.0,3541.88,"Paddy, Maize, Chili"
Eastern Province,Maha,Urea,132000,225.0,32670.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,TSP (Triple Super Phosphate),132000,55.0,7986.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,MOP (Muriate of Potash),132000,60.0,8712.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,NPK 15-15-15,132000,150.0,21780.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,NPK 12-12-17,132000,160.0,23232.0,"Paddy, Groundnut, Maize"
